Layer 1,Layer 2,Layer 3,R2,MAE
1,0,0,-7E-05,0.5346
1,1,0,-7E-05,0.53464
1,1,1,-4E-05,0.53477
1,1,2,0.16166,0.41586
1,1,3,0.16144,0.4159
1,1,4,0.16176,0.41646
1,1,5,0.16176,0.41346
1,1,6,0.16187,0.41586
1,1,7,0.1617,0.41606
1,1,8,0.37507,0.26011
1,1,9,0.37483,0.26043
1,1,10,-3E-05,0.53593
1,2,0,0.16091,0.4198
1,2,1,-8E-05,0.53455
1,2,2,-7E-05,0.5346
1,2,3,0.18053,0.41744
1,2,4,0.16109,0.42067
1,2,5,0.19085,0.38168
1,2,6,0.17806,0.389
1,2,7,0.18097,0.38764
1,2,8,0.16159,0.4168
1,2,9,0.16182,0.4151
1,2,10,0.16145,0.41692
1,3,0,0.16081,0.41971
1,3,1,-0.0001,0.53448
1,3,2,0.18662,0.38796
1,3,3,-8E-05,0.53456
1,3,4,0.16177,0.41535
1,3,5,0.37529,0.26056
1,3,6,0.37503,0.26014
1,3,7,0.37394,0.2651
1,3,8,0.39225,0.25124
1,3,9,-8E-05,0.53457
1,3,10,0.1641,0.41385
1,4,0,0.16188,0.41464
1,4,1,0.16174,0.41504
1,4,2,-0.0001,0.53448
1,4,3,0.37255,0.26794
1,4,4,0.37282,0.26784
1,4,5,0.16141,0.41801
1,4,6,0.16134,0.41934
1,4,7,0.16159,0.42003
1,4,8,0.16094,0.41183
1,4,9,0.16157,0.41842
1,4,10,0.30587,0.36172
1,5,0,0.16331,0.41737
1,5,1,0.16196,0.40986
1,5,2,-5E-05,0.5347
1,5,3,0.30627,0.36285
1,5,4,0.18679,0.38341
1,5,5,0.30594,0.37056
1,5,6,-6E-05,0.53467
1,5,7,0.30633,0.36365
1,5,8,0.22124,0.36493
1,5,9,0.3745,0.26432
1,5,10,0.3752,0.26054
1,6,0,0.22103,0.36393
1,6,1,-6E-05,0.53468
1,6,2,0.18242,0.37294
1,6,3,0.2203,0.36878
1,6,4,-0.0001,0.53449
1,6,5,0.16138,0.41208
1,6,6,0.23206,0.35214
1,6,7,0.16145,0.4141
1,6,8,0.00077,0.53488
1,6,9,0.36264,0.31147
1,6,10,0.17482,0.40776
1,7,0,0.16187,0.41733
1,7,1,-7E-05,0.53463
1,7,2,0.37481,0.26112
1,7,3,0.37469,0.25952
1,7,4,-9E-05,0.5345
1,7,5,0.16051,0.41148
1,7,6,0.37502,0.25868
1,7,7,0.16152,0.41497
1,7,8,0.16499,0.41281
1,7,9,0.37476,0.26088
1,7,10,0.37517,0.25825
1,8,0,0.16262,0.41771
1,8,1,0.30615,0.36388
1,8,2,0.21964,0.3724
1,8,3,0.16332,0.41381
1,8,4,0.22079,0.36469
1,8,5,0.16031,0.41997
1,8,6,0.16318,0.41456
1,8,7,0.22143,0.36422
1,8,8,0.35688,0.31665
1,8,9,0.17602,0.41141
1,8,10,0.37532,0.25797
1,9,0,0.16445,0.41262
1,9,1,0.22601,0.35858
1,9,2,0.16144,0.41524
1,9,3,-0.0001,0.53445
1,9,4,0.16125,0.42221
1,9,5,0.37535,0.25934
1,9,6,0.17551,0.4102
1,9,7,0.37537,0.25841
1,9,8,0.22506,0.3619
1,9,9,0.36262,0.3122
1,9,10,0.37565,0.25933
1,10,0,0.16137,0.41954
1,10,1,-5E-05,0.53472
1,10,2,0.1613,0.4212
1,10,3,0.16065,0.42445
1,10,4,0.37515,0.25857
1,10,5,0.37481,0.26334
1,10,6,0.16174,0.41534
1,10,7,0.16607,0.41686
1,10,8,0.16576,0.4164
1,10,9,0.18216,0.37248
1,10,10,0.23636,0.36031
1,11,0,0.37546,0.26062
1,11,1,-7E-05,0.53459
1,11,2,0.30587,0.36343
1,11,3,0.16093,0.4227
1,11,4,0.18252,0.37352
1,11,5,0.23008,0.36258
1,11,6,0.3063,0.35764
1,11,7,0.36327,0.31173
1,11,8,0.17519,0.40754
1,11,9,0.23683,0.3549
1,11,10,0.37509,0.26101
1,12,0,0.16155,0.41555
1,12,1,-4E-05,0.5348
1,12,2,0.16112,0.42228
1,12,3,0.1648,0.41033
1,12,4,0.16349,0.41602
1,12,5,0.16086,0.42299
1,12,6,0.37445,0.26424
1,12,7,0.16162,0.41363
1,12,8,0.16057,0.41965
1,12,9,0.16413,0.40933
1,12,10,0.16406,0.41061
1,13,0,0.16228,0.41507
1,13,1,-0.00011,0.53441
1,13,2,-9E-05,0.53451
1,13,3,0.36082,0.30526
1,13,4,0.37471,0.26014
1,13,5,0.23144,0.36293
1,13,6,0.37488,0.26195
1,13,7,0.37461,0.26286
1,13,8,0.30607,0.36601
1,13,9,0.37504,0.26017
1,13,10,0.37521,0.26125
1,14,0,0.16467,0.41496
1,14,1,-7E-05,0.53462
1,14,2,0.30642,0.36329
1,14,3,0.23784,0.35352
1,14,4,0.22134,0.36099
1,14,5,0.37495,0.26133
1,14,6,0.23758,0.3646
1,14,7,0.1641,0.41346
1,14,8,0.30862,0.36661
1,14,9,0.37502,0.26185
1,14,10,0.2213,0.35962
1,15,0,0.17638,0.41048
1,15,1,-7E-05,0.5346
1,15,2,0.30447,0.35919
1,15,3,0.37427,0.26334
1,15,4,0.17668,0.41166
1,15,5,0.37571,0.25997
1,15,6,0.37524,0.25998
1,15,7,0.37483,0.26051
1,15,8,0.37526,0.25983
1,15,9,0.31204,0.36193
1,15,10,0.37491,0.2616
1,16,0,0.16323,0.4164
1,16,1,-8E-05,0.53454
1,16,2,-4E-05,0.53477
1,16,3,0.22159,0.35261
1,16,4,0.37554,0.25981
1,16,5,0.21426,0.35277
1,16,6,-6E-05,0.53467
1,16,7,0.16073,0.41374
1,16,8,0.16153,0.41477
1,16,9,0.1827,0.37166
1,16,10,0.23638,0.3631
1,17,0,0.30593,0.36676
1,17,1,-8E-05,0.53458
1,17,2,0.17599,0.41254
1,17,3,0.23869,0.36027
1,17,4,0.36279,0.30784
1,17,5,0.36393,0.31123
1,17,6,0.23745,0.35331
1,17,7,0.30651,0.36412
1,17,8,0.17658,0.41216
1,17,9,0.37557,0.25867
1,17,10,0.37574,0.25783
1,18,0,0.30666,0.36394
1,18,1,-8E-05,0.53454
1,18,2,0.16044,0.42684
1,18,3,0.16415,0.4102
1,18,4,-4E-05,0.53478
1,18,5,0.22208,0.36386
1,18,6,0.36067,0.30789
1,18,7,0.36193,0.31139
1,18,8,0.36214,0.30992
1,18,9,0.17578,0.41551
1,18,10,0.375,0.26264
1,19,0,0.30581,0.36348
1,19,1,0.30272,0.35929
1,19,2,0.22221,0.36324
1,19,3,0.36135,0.31008
1,19,4,-8E-05,0.53457
1,19,5,0.17609,0.41247
1,19,6,0.36063,0.30701
1,19,7,0.22148,0.36039
1,19,8,0.36146,0.30545
1,19,9,0.21958,0.37352
1,19,10,0.23805,0.35311
1,20,0,0.17632,0.41245
1,20,1,0.17592,0.4165
1,20,2,0.30938,0.36267
1,20,3,0.23775,0.36291
1,20,4,0.29755,0.37723
1,20,5,0.17622,0.41221
1,20,6,0.22023,0.3559
1,20,7,0.3635,0.30512
1,20,8,0.30693,0.36457
1,20,9,0.23768,0.359
1,20,10,0.18274,0.37048
2,0,0,0.45142,0.25989
2,1,0,-7E-05,0.53461
2,1,1,0,0.53544
2,1,2,-1E-05,0.53512
2,1,3,-7E-05,0.53463
2,1,4,0,0.53518
2,1,5,0,0.5353
2,1,6,0,0.53538
2,1,7,-2E-05,0.53587
2,1,8,0,0.5352
2,1,9,0,0.53524
2,1,10,0,0.53548
2,2,0,0.59901,0.23213
2,2,1,0.62885,0.1947
2,2,2,0.44973,0.31071
2,2,3,0.42723,0.27787
2,2,4,0.45907,0.31013
2,2,5,0.42263,0.24545
2,2,6,0.60772,0.1846
2,2,7,0.57525,0.20308
2,2,8,0.61525,0.19446
2,2,9,0.44683,0.30132
